STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
45100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45100.00,3,0,0.0,0,0.0,0.0,0.0,0.0,27625,4075,750,2416.15,750,2598.85,42559.55
45200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45200.00,12473,1856,17.48139775831214,112126,49.07,4.05,-0.3500000000000005,-7.954545454545466,55350,17275,2150,4.0,125,4.05,42559.55
45200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45200.00,5,1,25.0,2,0.0,2324.85,624.8499999999999,36.75588235294117,51325,5150,750,2534.6,25,2675.55,42559.55
45300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45300.00,8891,-411,-4.418404644162545,88878,50.56,4.0,-0.3499999999999996,-8.045977011494246,52400,18600,1225,3.95,1500,4.0,42559.55
45300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45300.00,11,0,0.0,2,0.0,2213.8,245.05000000000015,12.446984126984136,5100,5250,150,2650.55,50,2796.55,42559.55
45400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45400.00,15656,8729,126.014147538617,96424,51.88,3.8,-0.4500000000000002,-10.58823529411765,49900,16500,3675,3.75,1900,3.85,42559.55
45400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45400.00,0,0,0.0,0,0.0,0.0,0.0,0.0,5700,5700,750,2725.55,750,2902.35,42559.55
45500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45500.00,68506,-16667,-19.568407828772028,459005,53.34,3.7,-0.75,-16.853932584269664,838700,35800,9225,3.7,9475,3.8,42559.55
45500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45500.00,54,0,0.0,7,0.0,2679.95,239.39999999999964,9.809264305177097,9975,10525,25,2886.55,2025,2931.85,42559.55
45600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45600.00,8884,3565,67.02387666854672,56783,54.7,3.65,-0.5000000000000004,-12.048192771084349,51050,9525,2575,3.55,1050,3.65,42559.55
45600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45600.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4800,4800,750,2932.5,750,3100.05,42559.55
45700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45700.00,8020,4799,148.99099658491153,51040,55.84,3.6,-0.4999999999999995,-12.195121951219502,44700,7550,575,3.5,350,3.6,42559.55
45700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45700.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4800,4800,750,3028.2,750,3215.55,42559.55
45800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45800.00,6016,1093,22.20190940483445,42906,57.75,3.7,-0.2999999999999998,-7.499999999999996,51600,8250,2225,3.6,450,3.7,42559.55
45800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45800.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4800,4800,750,3119.0,750,3339.15,42559.55
45900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE45900.00,7636,-113,-1.458252677764873,35787,58.96,3.55,-0.4000000000000003,-10.12658227848102,47350,8025,100,3.5,625,3.55,42559.55
45900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE45900.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4800,4800,750,3219.8,750,3433.75,42559.55
46000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE46000.00,118631,-10153,-7.88374332215182,369411,60.97,3.75,-0.5,-11.76470588235294,980125,28775,4350,3.75,2875,3.8,42559.55
46000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE46000.00,43,-7,-14.0,26,0.0,2850.0,32.65000000000009,1.1588904466963668,6425,5700,1850,3352.45,225,3475.25,42559.55
46500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE46500.00,26633,-4897,-15.531240088804314,113372,67.27,3.3,-0.5500000000000003,-14.285714285714294,94825,13775,1550,3.25,3425,3.35,42559.55
46500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE46500.00,5,0,0.0,0,0.0,0.0,0.0,0.0,5600,4850,750,3832.95,125,3934.45,42559.55
47000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE47000.00,43459,-2416,-5.266485013623978,107516,74.31,3.2,-0.6999999999999997,-17.948717948717942,102625,10175,900,3.2,925,3.25,42559.55
47000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE47000.00,5,0,0.0,0,0.0,0.0,0.0,0.0,5800,4925,750,4334.75,75,4464.05,42559.55
47500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE47500.00,28446,921,3.346049046321526,50443,81.03,3.1,-0.6000000000000001,-16.216216216216218,115675,10625,1200,3.1,1600,3.2,42559.55
47500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE47500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4500,4700,125,4896.25,125,4953.2,42559.55
48000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE48000.00,23710,-530,-2.1864686468646863,58602,87.07,2.85,-0.6499999999999999,-18.57142857142857,166550,15975,25,2.85,1875,2.95,42559.55
48000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE48000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3150,5225,50,5375.2,750,5498.0,42559.55
48500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE48500.00,10172,-1887,-15.648063686872876,28093,92.84,2.55,-0.5500000000000003,-17.74193548387098,359825,8625,750,2.5,1225,2.6,42559.55
48500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE48500.00,0,0,0.0,0,0.0,0.0,0.0,0.0,4325,3425,75,5830.5,125,5980.05,42559.55
49000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE49000.00,69701,-10006,-12.553477109915065,120221,98.93,2.55,-0.4000000000000003,-13.559322033898315,674850,33375,1550,2.5,175,2.55,42559.55
49000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE49000.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3950,3525,75,6336.25,350,6478.85,42559.55
