STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
40900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE40900.00,26,-3,-10.344827586206897,24,71.36,1801.0,-276.5,-13.309265944645007,33725,7450,50,1655.05,25,1729.75,42559.55
40900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE40900.00,9556,4266,80.64272211720227,82168,32.52,1.9,-0.9500000000000002,-33.333333333333336,65375,18225,1700,1.85,1950,1.9,42559.55
41000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41000.00,1160,-175,-13.108614232209735,411,0.0,1591.0,-406.9500000000001,-20.368377587026703,70325,11425,25,1556.15,75,1611.4,42559.55
41000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41000.00,121335,31070,34.42087187725032,682282,31.07,2.05,-1.1500000000000004,-35.937500000000014,492250,75375,10900,2.0,9925,2.05,42559.55
41100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41100.00,53,0,0.0,2,123.12,1981.1,-77.20000000000027,-3.750668027012596,25325,10050,50,1470.25,1725,1510.75,42559.55
41100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41100.00,8648,3212,59.08756438557763,111615,29.4,2.05,-1.3000000000000005,-38.80597014925374,55300,22750,2375,2.05,1600,2.1,42559.55
41200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41200.00,101,0,0.0,2,49.96,1375.0,-412.3,-23.068315335981644,19950,12000,2075,1356.3,2100,1419.3,42559.55
41200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41200.00,25186,8752,53.255446026530365,155127,27.88,2.25,-1.35,-37.5,44950,36725,2775,2.2,1050,2.25,42559.55
41300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41300.00,67,-8,-10.666666666666666,18,41.47,1306.4,-627.3999999999999,-32.443892853449164,26425,10525,1950,1265.1,1500,1306.35,42559.55
41300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41300.00,17455,4203,31.715967401147,165265,26.1,2.4,-1.4500000000000002,-37.66233766233766,168500,24075,75,2.4,2950,2.45,42559.55
41400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41400.00,125,-2,-1.5748031496062993,88,41.77,1232.95,-357.04999999999995,-22.455974842767294,27700,11725,75,1190.15,75,1195.6,42559.55
41400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41400.00,18324,8313,83.03865747677554,178969,24.51,2.6,-1.5500000000000005,-37.34939759036145,258875,29100,1975,2.55,1125,2.6,42559.55
41500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41500.00,1050,-147,-12.280701754385966,1271,27.06,1092.25,-412.1500000000001,-27.396304174421697,31800,13875,100,1090.45,100,1094.05,42559.55
41500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41500.00,165466,85720,107.49128482933314,1040790,22.94,2.85,-1.8000000000000005,-38.70967741935484,2287175,108500,625,2.85,9050,2.9,42559.55
41600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41600.00,392,21,5.660377358490566,142,41.06,988.15,-407.5000000000001,-29.19786479418193,109000,17425,25,990.35,50,995.05,42559.55
41600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41600.00,36347,22474,161.99812585597925,376569,21.47,3.1,-2.0500000000000003,-39.80582524271845,208050,46725,3600,3.1,1150,3.15,42559.55
41700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41700.00,472,5,1.0706638115631693,1050,23.47,895.0,-414.5999999999999,-31.658521686010992,31600,23450,125,891.9,100,894.25,42559.55
41700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41700.00,51013,30068,143.55693482931488,447983,20.22,3.8,-2.0,-34.48275862068966,187025,47875,525,3.75,3250,3.8,42559.55
41800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41800.00,610,114,22.983870967741936,1301,20.92,797.45,-410.3999999999999,-33.97772902264353,94750,19775,125,794.1,25,796.1,42559.55
41800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41800.00,85336,56435,195.27005985952044,732136,18.92,4.65,-2.4499999999999997,-34.50704225352112,481550,76275,3325,4.6,325,4.65,42559.55
41900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE41900.00,520,-33,-5.967450271247739,2801,19.99,695.5,-412.6500000000001,-37.23773857329785,89975,20950,25,694.6,25,696.65,42559.55
41900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE41900.00,61857,36903,147.88410675643183,700923,17.68,6.0,-2.4499999999999997,-28.99408284023668,569750,105400,1050,5.95,2425,6.05,42559.55
42000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42000.00,7874,3397,75.87670314943043,38352,18.26,600.0,-409.85,-40.585235431004605,396025,43900,175,598.85,50,600.45,42559.55
42000,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42000.00,176942,67516,61.70014438981595,2668891,16.51,8.0,-2.5,-23.809523809523807,3089350,583325,6975,8.0,1425,8.05,42559.55
42100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42100.00,2454,1976,413.38912133891216,14651,16.01,498.15,-416.15,-45.51569506726457,212650,25475,25,499.85,50,501.35,42559.55
42100,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42100.00,74376,36302,95.34590534222828,1325186,15.23,10.9,-2.35,-17.73584905660377,963525,168450,25,10.9,25,10.95,42559.55
42200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42200.00,3270,1762,116.84350132625995,30913,15.56,407.7,-404.25000000000006,-49.78754849436542,121825,28300,100,407.1,175,408.15,42559.55
42200,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42200.00,92370,55562,150.95088024342533,2375215,14.2,16.2,-0.6000000000000014,-3.57142857142858,1230975,291000,475,16.15,1750,16.25,42559.55
42300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42300.00,7535,6390,558.0786026200873,97219,14.44,316.0,-403.25,-56.06534584636774,126350,56275,25,315.95,25,316.75,42559.55
42300,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42300.00,124566,83633,204.3168103974788,3231494,13.44,26.65,5.049999999999997,23.379629629629616,1565600,396025,725,26.6,25,26.65,42559.55
42400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42400.00,14052,13187,1524.5086705202311,200763,13.47,235.0,-394.7000000000001,-62.68064157535335,334425,83900,25,234.65,100,235.35,42559.55
42400,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42400.00,140588,95596,212.47332859174963,3975711,12.87,44.2,15.500000000000004,54.006968641115,2209125,484775,200,44.15,225,44.3,42559.55
42500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42500.00,64238,55727,654.7644225120432,1028852,12.94,162.15,-373.35,-69.71988795518207,2095850,351900,25,161.75,100,162.25,42559.55
42500,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42500.00,235617,131359,125.99416831322296,7189174,12.33,72.65,33.7,86.5211810012837,5550225,961700,100,72.5,100,72.6,42559.55
42600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42600.00,136430,132874,3736.6141732283454,1706573,12.46,101.9,-351.0,-77.50055199823362,1753025,517400,125,101.65,150,101.9,42559.55
42600,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42600.00,169803,124115,271.6577657152863,5744612,11.88,111.6,58.24999999999999,109.18462980318648,2986675,683775,75,111.6,200,111.85,42559.55
42700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42700.00,175924,171097,3544.582556453284,2898845,12.47,61.2,-311.35,-83.5726748087505,2082650,775200,100,61.1,200,61.25,42559.55
42700,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42700.00,113726,70102,160.69594718503575,5636110,11.78,171.6,98.15,133.62831858407077,3138525,432575,25,171.75,275,172.2,42559.55
42800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42800.00,247708,234443,1767.3803241613268,4491964,12.98,37.95,-261.40000000000003,-87.32253215299816,2474250,1037175,325,37.9,150,38.0,42559.55
42800,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023PE42800.00,73542,14512,24.584109774690837,5687377,12.32,248.4,147.35000000000002,145.81890153389415,3785250,215175,200,247.55,100,248.2,42559.55
42900,05-Jan-2023,BANKNIFTY,OPTIDXBANKNIFTY05-01-2023CE42900.00,176625,143747,437.2133341444127,3940848,13.84,24.75,-209.85,-89.45012787723785,2366150,714675,325,24.65,425,24.75,42559.55
